	mid	audioset
4	/m/07sr1lc	Yell
5	/m/03qc9zr	Screaming
7	/m/01j3sz	Laughter
8	/m/07r660_	Giggle
9	/m/07rgt08	Chuckle, chortle
10	/m/0463cq4	Crying, sobbing
11	/m/07plz5l	Sigh
12	/m/015lz1	Singing
13	/t/dd00003	Male singing
14	/t/dd00004	Female singing
15	/m/09hlz4	Respiratory sounds
16	/m/0lyf6	Breathing
17	/m/07s0dtb	Gasp
18	/m/01b_21	Cough
19	/m/01hsr_	Sneeze
20	/m/06h7j	Run
21	/m/07pbtc8	Walk, footsteps
22	/m/03cczk	Chewing, mastication
23	/m/03q5_w	Burping, eructation
24	/m/02_nn	Fart
25	/m/0k65p	Hands
26	/m/025_jnm	Finger snapping
27	/m/0l15bq	Clapping
28	/t/dd00012	Human group actions
29	/m/053hz1	Cheering
30	/m/028ght	Applause
31	/m/03qtwd	Crowd
32	/m/0jbk	Animal
33	/m/068hy	Domestic animals, pets
38	/m/07rjwbb	Hiss
39	/m/0ch8v	Livestock, farm animals, working animals
40	/m/0239kh	Cowbell
41	/m/025rv6n	Fowl
42	/m/09b5t	Chicken, rooster
43	/m/01280g	Wild animals
44	/m/015p6	Bird
45	/m/020bb7	Bird vocalization, bird call, bird song
46	/m/07pggtn	Chirp, tweet
47	/m/04s8yn	Crow
48	/m/01dwxx	Gull, seagull
49	/m/03vt0	Insect
50	/m/09xqv	Cricket
51	/m/07pjwq1	Buzz
52	/m/09ld4	Frog
53	/m/07qn4z3	Rattle
54	/m/04rlf	Music
56	/m/03w41f	Church bell
57	/m/0gy1t2s	Bicycle bell
58	/m/0f8s22	Chime
59	/m/026fgl	Wind chime
60	/m/03m9d0z	Wind
61	/m/0jb2l	Thunderstorm
62	/m/0ngt1	Thunder
63	/m/0838f	Water
64	/m/06mb1	Rain
65	/m/07r10fb	Raindrop
66	/m/0j6m2	Stream, river
67	/m/05kq4	Ocean
68	/m/034srq	Waves, surf
69	/m/07swgks	Gurgling, bubbling
70	/m/02_41	Fire
71	/m/07pzfmf	Crackle
72	/m/07yv9	Vehicle
73	/m/019jd	Boat, Water vehicle
74	/m/012f08	Motor vehicle (road)
75	/m/0k4j	Car
76	/m/0912c9	Vehicle horn, car horn, honking, toot
77	/t/dd00134	Car passing by
78	/m/0ltv	Race car, auto racing
79	/m/07r04	Truck
80	/m/01bjv	Bus
81	/m/04_sv	Motorcycle
82	/m/0btp2	Traffic noise, roadway noise
83	/m/06d_3	Rail transport
84	/m/07jdr	Train
85	/m/0195fx	Subway, metro, underground
86	/m/0k5j	Aircraft
87	/m/0cmf2	Fixed-wing aircraft, airplane
88	/m/0199g	Bicycle, tricycle
89	/m/06_fw	Skateboard
90	/m/02mk9	Engine
91	/t/dd00130	Engine starting
92	/m/07pb8fc	Idling
93	/m/07q2z82	Accelerating, revving, vroom
94	/m/02dgv	Door
95	/m/02y_763	Sliding door
96	/m/07rjzl8	Slam
97	/m/07r4wb8	Knock
98	/m/07qcpgn	Tap
99	/m/07q6cd_	Squeak
100	/m/0642b4	Cupboard open or close
101	/m/0fqfqc	Drawer open or close
102	/m/0fx9l	Microwave oven
103	/m/01s0vc	Zipper (clothing)
104	/m/03v3yw	Keys jangling
105	/m/0242l	Coin (dropping)
106	/m/05mxj0q	Packing tape, duct tape
107	/m/01lsmm	Scissors
108	/m/0316dw	Typing
109	/m/0c2wf	Typewriter
110	/m/01m2v	Computer keyboard
111	/m/081rb	Writing
112	/m/07cx4	Telephone
113	/m/03kmc9	Siren
114	/t/dd00077	Mechanisms
115	/m/02bm9n	Ratchet, pawl
116	/m/01x3z	Clock
117	/m/07qjznt	Tick
118	/m/07qjznl	Tick-tock
119	/m/02x984l	Mechanical fan
120	/m/01m4t	Printer
121	/m/0dv5r	Camera
122	/m/07k1x	Tools
123	/m/03l9g	Hammer
124	/m/01b82r	Sawing
125	/m/0_ksk	Power tool
126	/m/01d380	Drill
127	/m/014zdl	Explosion
128	/m/032s66	Gunshot, gunfire
129	/m/0g6b5	Fireworks
130	/m/07qqyl4	Boom
131	/m/083vt	Wood
132	/m/07qs1cx	Crack
133	/m/039jq	Glass
134	/m/07q7njn	Glass chink, clink
135	/m/07rn7sz	Glass shatter
136	/m/04k94	Liquid
137	/m/07rrlb6	Splash, splatter
138	/m/07r5v4s	Drip
139	/m/07prgkl	Pour
140	/m/07pqc89	Trickle, dribble
141	/m/07p7b8y	Fill (with liquid)
142	/m/0dv3j	Boiling
143	/m/07rqsjt	Whoosh, swoosh, swish
144	/m/07qnq_y	Thump, thud
145	/m/07plct2	Crushing
146	/t/dd00112	Crumpling, crinkling
147	/m/07qcx4z	Tearing
148	/m/07q8k13	Screech
